,sentences
746,A man and a woman are walking together through the city
747,A man is making a speech on a podium
748,A man is speaking on a podium
749,There is no man speaking on a podium
750,A podium is where a man is speaking
751,A man is tanking on a stage in front of a crowd
752,A man is speaking on a stage
753,There is no man speaking on a stage
754,A man is speaking about the stage
755,A woman is talking on a telephonic device
756,A woman is talking on a telephone
757,A woman is not talking on a telephone
758,Two frightened boys are talking on the phone
759,Two boys are talking on the phone
760,Two boys are not talking on the phone
761,A monkey is wading through a marsh
762,A monkey is wading through a river
763,There is no monkey wading through a marsh
764,A small monkey is walking in the river
765,A small monkey is walking through water
766,A monkey isn't walking through water
767,A man is slicing a bun
768,A man is cutting a bun
769,There is no man slicing a bun
770,A man is slicing a red tomato
771,A man is slicing a tomato
772,There is no man slicing a tomato
773,A woman is dancing and singing in the rain
774,A woman is performing in the rain
775,There is no woman dancing and singing in the rain
776,Some women are dancing and singing 
777,A woman is dancing and singing with other women
778,A woman is dancing and singing alone
779,A woman is removing the peel of a potato
780,A woman is peeling a potato
781,There is no woman peeling a potato
782,A woman is slicing a tomato
783,There is no woman slicing a tomato
784,A woman is amalgamating eggs
785,A woman is mixing eggs
786,There is no woman mixing eggs
787,The hungry woman is eating
788,The woman is eating
789,The woman is drinking
790,A band is performing on a stage
791,A band is playing on a stage
792,A band is not performing on a stage
793,A band is performing onstage
794,A band is playing onstage
795,There is no band playing
796,A man is shaking a drink
797,A man is mixing
798,There is no man mixing
799,A man is arranging the garden
800,A man is mowing a lawn
801,A man is not mowing a lawn
802,A man is dancing
803,A man is moving gracefully
804,A man is sitting
805,A man is walking in a yard
806,A man is walking outside
807,There is no man walking outside
808,A black cat is swinging on a fan
809,A cat is swinging on a fan
810,There is no cat swinging on a fan
811,A cat is stuck on a ceiling fan that is moving
812,A cat is stuck on a moving ceiling fan
813,A cat is playing on a moving ceiling fan
814,A man is making music with a flute
815,A man is playing flute
816,There is no man playing flute
817,A man is playing baseball with a flute
818,A man is playing soccer
819,A man is playing a game with a ball
820,There is no man playing soccer
821,A soccer man is playing piano
822,A man is frying a tortilla
823,A man is frying food
824,There is no man frying a tortilla
825,A person is performing a card trick
826,A person is doing a trick with some cards
827,Nobody is performing a card trick
828,A boy is spanking a man with a plastic sword
829,A boy is spanking a man with a toy weapon
830,A boy is spanking a woman with a plastic sword
831,A man is spanking a boy with a plastic sword
832,A boy is whacking a man with a sword
833,A man is being hit by a kid with a weapon
834,There is no man being hit
835,A man is whacking a boy with a sword
836,The young lady is measuring the ankle of another woman
837,The lady is measuring the ankle of another woman
838,The lady isn't measuring the ankle of another woman
839,The woman is measuring the other woman
840,A woman is being measured by another woman
841,The woman is measuring a man
842,A man is talking on the phone
843,A man is making a phone call
844,There is no man making a phone call
845,A man is talking on a cell phone
846,A man is making a call on a cell phone
847,A man is hanging up the phone
848,An animal is rolling from side to side in a garden
849,A dog is rolling from side to side
850,There is no dog rolling from side to side
851,A cute puppy is repeatedly rolling from side to side on its back
852,A puppy is repeatedly rolling from side to side on its back
853,There is no puppy rolling
854,A machine is sharpening a pencil
855,A pencil is being sharpened
856,A machine is sharpening a knife
857,The machine is shaving the end of a pencil
858,A pencil is being shaved by the machine
859,The machine is not shaving a pencil
860,A man is playing a keyboard in a park
861,A man is playing a keyboard
862,A pianist is playing the keyboard
863,A person is playing the keyboard
864,A person is not playing the keyboard
865,There is no man playing a keyboard
866,A man is rinsing a large steak
867,A man is rinsing a large piece of meat
868,A man is not rinsing a large steak
869,A steak is being rinsed with water by a person
870,A person is rinsing a steak with water
871,Nobody is rinsing a steak with water
872,A person is chopping a red onion
873,A person is chopping an onion
874,A person is not chopping an onion
875,A person is riding an old motorcycle
876,A person is riding a motorcycle
877,A person is standing near a motorcycle
878,A sad man is crying
879,A man is crying
880,A man is laughing
881,A man is screaming
882,A man is scared
883,There is no man screaming
884,Butter is being chopped into a container by a man
885,A man is chopping butter into a container
886,A man is chopping butter into a small container
887,A prawn is being cut by a woman
888,A woman is cutting shrimps
889,A woman is not cutting shrimps
890,Men are sawing logs
891,Men are cutting wood
892,Women are sawing logs
893,Some men are sawing
894,Men are sawing
895,There are no men sawing
896,A woman is washing her feet
897,A woman is brushing her feet
898,A woman is brushing her hand
899,A woman is chopping a red onion
900,A woman is chopping an onion
901,A woman is not chopping an onion
902,A man is not playing a guitar
903,A musician is playing a keyboard
904,A man is playing an electric guitar
905,A man is spitting on the ground
906,A man is spitting
907,There is no man spitting
908,A man is talking on the radio
909,A man is talking
910,A man is spreading dough
911,Dough is being spread by a man
912,A man is lumping dough
913,A woman is slicing meat with a sharp knife
914,A woman is slicing meat with a knife
915,There is no woman slicing meat with a knife
916,A happy baby is laughing
917,A baby is laughing
918,A baby is crying
919,A man is exercising
920,A man is doing physical activity
921,A man is resting
922,Three men are jumping off a tall wall
923,Three men are jumping off a wall
924,Three men are jumping on a wall
925,"Three young men are furiously running, jumping and kicking near a vending machine"
926,"Three young men are running, jumping and kicking near a vending machine"
927,"There is no man running, jumping and kicking near a vending machine"
928,A deer is jumping over a cyclone fence
929,A deer is jumping over a wall
930,A deer is standing inside a fence
931,The deer is jumping over the low fence
932,The deer is jumping over the fence
933,The deer is not jumping over the fence
934,The oil is being stirred by a man
935,The man is stirring oil
936,The man is not stirring oil
937,The man is stirring the sauce for the chicken
938,The man is cooking sauce for the meat
939,The man is not stirring the sauce for the chicken
940,A man is playing guitar
941,There is no man playing guitar
942,A man is strumming a guitar
943,Three boys in karate uniform are sparring
944,Three boys in karate costumes are fighting
945,Three boys in karate costumes aren't fighting
946,Three men are practicing karate in a field
947,Three men are practicing karate outdoors
948,Three men are practicing karate in a gym
949,Some women are holding each other in a circle and dancing
950,A few women are holding each other and dancing together
951,A woman is dancing alone
952,Two men are playing table tennis
953,Two men are playing ping pong
954,Two men are playing table football
955,A woman is cutting broccoli
956,A woman is slicing vegetables
957,There is no woman cutting broccoli
958,A woman is cutting some flowers
959,A woman is cutting some plants
960,A woman is planting some flowers
961,A white horse is standing
962,A horse is standing
963,A horse is running
964,A woman is cutting a white onion
965,A woman is cutting an onion
966,There is no woman cutting an onion
967,A cat is playing a piano
968,A cat is playing a keyboard
969,There is no cat playing a keyboard
970,A musician is playing two keyboards
971,A man is playing two keyboards
972,There is no man playing two keyboards
973,Mimes are performing on a small stage
974,Mimes are performing on a stage
975,There are no mimes performing
976,The men are acting on a stage
977,The men are performing on stage
978,Two men are leaving the stage
979,A man is carrying a tree
980,A man is carrying a plant
981,A man is dropping a tree
982,A man is picking up a tree
983,A tree is being picked up by a man
984,A man is planting a tree
985,A man is passionately playing the guitar
986,A man is playing the guitar
987,There is no man playing the guitar
988,A man is playing the guitar owner
989,A trumpet is being played by a person
990,A person is playing a trumpet
991,A person is stopping playing a trumpet 
992,A person is listening to a trumpet playing
993,The badger is burrowing a hole
994,A hole is being burrowed by the badger
995,The badger isn't burrowing a hole
996,"A badger, which is shrewd, is digging the earth"
997,A badger is shrewdly digging the earth
998,There is no badger shrewdly digging the earth
999,Some liquid is being poured into a pan by a man
1000,A man is pouring liquid into a pot
1001,There is no man pouring liquid into a pot
1002,The chef is carefully pouring oil in the pan
1003,The chef is carefully pouring some oil into a pan
1004,The chef is carefully drying the oil from the pan
1005,The man is typing on a machine used for stenography
1006,A man is typing on a machine used for stenography
1007,A man is putting away a stenograph machine
1008,The man is cautiously operating a stenograph
1009,The man is operating a stenograph
1010,The man isn't operating a stenograph
1011,The man needs a stenograph to operate 
1012,A snake is being fed a mouse by a man
1013,One man is feeding a mouse to the snake
1014,No snake is being fed a mouse by a man
1015,A poor man is being fed snakes and mice
1016,The man is carefully feeding a mouse to the snake
1017,The man is cautiously feeding a mouse to the snake
1018,The man isn't cautiously feeding a mouse to the snake
1019,A guy is cheerfully playing with the footbag
1020,A guy is cheerfully playing with a footbag
1021,There is a guy cheerfully playing with a footbag
1022,The man is austerely playing a piano
1023,The man is playing a piano
1024,The man isn't playing the piano
1025,A man is mixing a few ingredients in a bowl
1026,Some ingredients are being mixed in a bowl by a person
1027,Some ingredients are being separated in a bowl by a person
1028,A person is bowling the ingredients to the man at the mixer
1029,A woman is vigorously breaking two eggs in a bowl.
1030,A woman is breaking two eggs in a bowl
1031,There is no woman breaking eggs in a bowl
1032,A woman is bowling two eggs to a break dancer 
1033,The girl is recklessly jumping onto a car
1034,The girl is recklessly jumping onto a vehicle
1035,The girl isn't jumping onto the car recklessly
1036,A car is riskily jumping over a girl
1037,One young lady is jumping on the car
1038,One girl is jumping on the car
1039,There is no girl jumping into the car
1040,A girl is on a jumping car
1041,One woman is slowly peeling a potato
1042,One woman is peeling a potato
1043,A woman is throwing a potato peel
1044,A woman is peeling the potato
1045,The potato is being peeled by a woman
1046,The potato isn't being peeled by a woman
1047,A boat is sailing quietly over the water
1048,A boat is sailing peacefully over the water
1049,A boat is anchored
1050,A boat's sail is being reflected by the peaceful water
1051,The guitar is being played by the man
1052,The guitar is being played by a man
1053,The guitar is being played by nobody
1054,The man is a guitar player
1055,The man is pouring oil on a few tomatoes
1056,One person pours oil on a few tomatoes
1057,A man isn't pouring oil on the tomatoes.
1058,Few men like pouring tomato oil
1059,Some oil is being poured on the tomatoes by the man
1060,The man is pouring some oil on the tomatoes
1061,There is no man pouring some oil on the tomatoes
1062,Somebody is pouring tomato oil on the man
1063,The milk is being drunk by a cat
1064,The cat is drinking some milk
1065,There is no milk being drunk by a cat
1066,A drunk man is milking a cat
1067,A kitten is drinking fresh milk
1068,A little cat is drinking fresh milk
1069,There is no kitten drinking milk
1070,Milk is a kitten's drink
1071,A man is emptying a container made of plastic completely
1072,A man is emptying a container made of plastic
1073,A man is filling a container made of plastic
1074,A frog is being held carelessly by a man
1075,A man is carelessly holding a frog
1076,A man is carelessly dropping a frog
1077,A man is slicing an onion
1078,An onion is being sliced by a man
1079,There is no man slicing an onion
1080,A man is eating onion slices
1081,An onion is being cut by a man
1082,The onion is being cut by the man
1083,No onion is being cut by a man
1084,A man is recklessly riding a horse
1085,A person is recklessly riding a horse
1086,There is no man recklessly riding a horse
1087,The elephant is being ridden by the woman
1088,The woman is riding the elephant
1089,The elephant isn't being ridden by the woman
1090,The elephant is being ridden over a woman
1091,Someone is feeding an animal
1092,Someone is giving food to an animal
1093,Nobody is feeding an animal
1094,Somebody is playing the piano
1095,The piano is being played by someone
1096,The piano isn't being played by anyone
1097,A man is pushing the buttons of a microwave
1098,The buttons of a microwave are being pushed by a man
1099,There is no man is pushing the buttons of a microwave
1100,A man is being pushed toward the buttons of a microwave
1101,One man is turning on the microwave
1102,One man is powering the microwave
1103,One man is turning off the microwave
1104,A flute is being played in a lovely way by a girl
1105,A flute is being played by a girl
1106,A flute is being put away by a girl
1107,A girl is making a flute which is not to be played
1108,One woman is practicing with a flute
1109,One woman is playing a flute
1110,There is no woman playing a flute
1111,A boy is happily playing the piano
1112,One boy is happily playing a piano
1113,The boy isn't playing the piano happily
1114,The play is about a happy boy playing the piano
1115,A piano is being played by a man
1116,A piano is being played by a person
1117,A piano isn't being played by a man
1118,The piano player is being a tough man
1119,A cheetah is breathlessly chasing its prey across a field
1120,A cheetah is chasing its prey across a field
1121,A cheetah is shaken off by its prey across a field.
1122,A cheetah is quickly running behind its prey.
1123,The cheetah is running quickly behind its prey
1124,There is no cheetah quickly running behind its prey
1125,A prey is quickly running behind the cheetah
1126,A lion is pacing tiredly in a pen
1127,The lion is pacing tiredly in the pen
1128,There is no lion pacing tiredly in a pen
1129,A lion is tiring the whole pen by pacing
1130,A lion is slowly walking
1131,A lion is slowly moving around
1132,There is no lion walking
1133,Not everyone is able to walk a lion
1134,A flute is being played by a man
1135,The flute is being played by one man
1136,A flute isn't being played by a man
1137,A man is playing the guitar loudly
1138,The adult is playing the guitar loudly
1139,There is no man playing the guitar loudly
1140,The loud man is not allowed to play the guitar
1141,The person is dicing up a pepper which is orange
1142,An orange pepper is being diced up by a person
1143,The person isn't dicing up an orange pepper
1144,The orange colored dices are being cast by a cook to win the pepper
1145,A cook is rapidly slicing some bell peppers
1146,A cook is slicing some bell peppers
1147,There is no cook slicing some bell peppers
1148,Some bells are ringing near a cook slicing peppers
1149,A girl is cutting the butter into two pieces
1150,A girl is cutting butter into two pieces
1151,A girl is melting two pieces of butter together
1152,A magician is cutting a girl into two pieces like butter
1153,Some tofu is being sliced by one woman
1154,Tofu is being sliced by a woman
1155,Tofu isn't being sliced by a woman
1156,Some sliced tofu is being eaten by a woman
1157,"The girl, who is little, is carefully combing her hair into a pony tail"
1158,"The girl, who is little, is combing her hair into a pony tail."
1159,"The girl, who is little, is ruffling her hair"
1160,A girl is combing the hair of a little pony's tail
1161,One man is sitting steadily on the chair
1162,One man is sitting on the chair
1163,There is no man sitting on the chair
1164,A man is carelessly smearing butter on a slice of garlic flavored bread 
1165,The man is carelessly smearing butter on a slice of garlic bread
1166,The man isn't smearing butter on bread 
1167,A man is spreading butter on a piece of bread which is big
1168,"A piece of bread, which is big, is having butter spread upon it by a man OR A piece of bread, which is big, is being spread with butter by a man"
1169,A man is removing the butter from a piece of bread which is big
1170,The parrot is amazingly talking into the microphone
1171,The parrot is talking into the microphone
1172,The parrot is silent in front of the microphone
1173,The microphone in front of the talking parrot is being muted
1174,The parrot is speaking
1175,A parrot is speaking
1176,There is no parrot speaking
1177,The speaker likes parrots
1178,A few kittens are eating
1179,Some kittens are eating
1180,Some kittens are hungry
1181,A man is eating near the kittens
1182,The food on the trays is being eaten by the kittens
1183,The kittens are eating the food on the trays
1184,The food on the trays isn't being eaten by the kittens
1185,The kittens on the trays are being eaten as food for an advertisement
1186,A person is singing and playing a guitar
1187,A person is singing and playing the guitar
1188,There is no person singing and playing the guitar
1189,The singer is playing the guitar in front of a person
1190,A man is passionately playing a guitar
1191,One man is passionately playing the guitar
1192,A man is putting away a guitar
1193,The guitar player loves the man passionately
1194,Some animals are playing wildly in the water
1195,A few animals are playing in the water
1196,A few animals are out of the water
1197,Nobody is playing ping pong
1198,Two people are playing ping pong
1199,A ping pong player is meeting with two people
1200,The windows are being polished by a man
1201,The windows are being cleaned by a man
1202,There is no window being cleaned by a man
1203,The man has a window of time to clean himself
1204,The man is driving a car carefully
1205,The man is driving a car
1206,The man isn't driving a car
1207,The driver's car is parked by a man
1208,One chimp is angrily kicking the target
1209,A chimp is angrily kicking a target
1210,A chimp is missing the target
1211,An angry man is targeting a kicking chimp
1212,The woman is pouring oil into a skillet
1213,Oil is being poured into a skillet by the woman
1214,The woman isn't pouring oil into a skillet
1215,The skillet is being oiled by a woman who is pouring some water
1216,The baby is being put into a trash can by a woman
1217,A woman is putting the baby into a trash can
1218,There is no baby being put into a trash can by a woman
1219,A person is putting meat into a skillet carelessly
1220,A person is putting meat into a skillet
1221,A person is taking away the meat in the skillet
1222,The kitten isn't eagerly drinking some milk from the bowl
1223,The kitten is eagerly drinking some milk from the bowl
1224,One small child is greedily drinking water from the cup
1225,One small child is drinking water from the cup
1226,One small child is filling the cup with water
1227,The band is singing loudly
1228,The band is singing 
1229,The band isn't singing
1230,The singer is leaving the band
1231,A woman is putting on makeup carefully
1232,"A woman is putting on some makeup carefully,"
1233,A woman is carefully removing her makeup
1234,One person is playing the guitar and singing
1235,A person is playing a guitar and singing
1236,Nobody is playing the guitar and singing
1237,The singer is hiring a person to fire the guitar player
1238,"The woman is happily playing a guitar, which is acoustic, and singing"
1239,"The woman is playing a guitar, which is acoustic, and singing"
1240,"The woman isn't playing the guitar, which is acoustic, or singing"
1241,The singer is playing the guitar at an acoustic concert for a woman
1242,Some water is being casually drunk by a cat
1243,Some water is being drunk by a cat
1244,There is no water being drunk by a cat
1245,A drunk man is unwarily watering a cat
1246,One truck is quickly going down the hill
1247,A truck is quickly going down a hill
1248,A truck is quickly going up a hill
1249,A young woman is playing the guitar
1250,A girl is playing the guitar
1251,A girl is not playing the guitar
1252,The guitar player is loving one girl
1253,One man is intensely playing a guitar
1254,The man is intensely playing the guitar
1255,The man isn't intensely playing the guitar
1256,The intense man is a guitar player
1257,The horse is being ridden by a man
1258,A man is riding the horse
1259,A man is riding the animal
1260,The man is on the ride with the horse
1261,A man is riding a motorbike
1262,A man is driving a motorbike
1263,A man is parking a motorbike
1264,A motorbike rider is running over a man 
1265,A magic trick is being performed by the magician
1266,The man is doing a magic trick
1267,The man isn't doing a magic trick
1268,"The kid, who is doing magic, is tricking an old man"
1269,A man is dangerously throwing knives at the tree
1270,A man is dangerously throwing knives at a tree
1271,A man is dangerously extracting knives from a tree
1272,Some dangerous men with knives are throwing a bike against a tree
1273,The guitar is being played by a lady
1274,The guitar is being played by a girl
1275,The guitar is being sold by a lady
1276,The play for the ladies requires a guitar
1277,The man is practicing the guitar
1278,The person is practicing the guitar
1279,The person isn't practicing the guitar
1280,The practicing person doesn't like the guitar
1281,The boy is enthusiastically playing in the mud
1282,The boy is playing in the mud
1283,The boy isn't playing in the mud
1284,Mud is being thrown to the playing boy
1285,The cat is playing with a device
1286,A cat is playing with a device
1287,There is no cat playing with a device
1288,A playing device is amusing a cat
1289,Some meat is being cut into pieces by a woman
1290,A woman is cutting some meat into pieces
1291,Some meat is being stitched together by a woman
1292,The woman is eating some cut pieces of raw meat
1293,A lady is cutting up some meat precisely
1294,A lady is cutting up some meat
1295,There is no lady cutting up some meat
1296,A boy in his teens is talking to a girl with an internet camera
1297,A boy in his teens is talking to a girl with a webcam
1298,A boy in his teens isn't talking to a girl with a webcam
1299,The teens are talking to a boy and a girl with a webcam
1300,One man is talking to a girl with an internet camera
1301,One man is chatting with a girl with an internet camera
1302,A man is ignoring a girl via an internet camera
1303,Eggs are being strongly whisked in a bowl by a person
1304,A person is strongly whisking eggs in a bowl
1305,A person is removing eggs from a bowl
1306,A strong person is leaving the whisk in the bowl near the eggs
1307,A woman is beating two eggs in a bowl and using a whisk made of wire
1308,One woman is beating two eggs in the bowl and using a whisk made of wire
1309,There is no woman beating two eggs in a bowl and using a whisk made of wire
1310,"A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk "
1311,An interview is being granted by the man
1312,The man is granting an interview
1313,The man is denying an interview
1314,The interviewer is granting a break to the man
1315,A white car is being driven by the man
1316,A person is driving the white car
1317,There is no white car being driven by the man
1318,A man's white car is being driven away
1319,A cord is being climbed by a man
1320,A rope is being climbed by a man
1321,There is no rope being climbed by a man
1322,A man is being roped by a climber
1323,A man is mindlessly slicing the carrot with a machine
1324,A man is slicing the carrot with a machine
1325,A man is removing a carrot from a machine
1326,A man is eating a carrot sliced by a machine
1327,The cat is licking a shallow dish full of milk
1328,The cat is licking milk from a saucer
1329,The cat isn't licking milk from a saucer
1330,A lick of milk sauce is being given to the cat
1331,Some milk is being hungrily drunk by a cat
1332,The cat is hungrily drinking milk
1333,There is no cat hungrily drinking milk
1334,Drinking milk helps a cat's hunger
1335,A baby is cheerfully playing with a dog
1336,A baby is playing with a dog 
1337,There is no baby playing with a dog
1338,A small boy is playing with a dog
1339,The small boy is playing with the dog
1340,A small boy is scolding a dog
1341,A potato peel is falling over a woman
1342,The man is slicing some potatoes
1343,The man is slicing potatoes
1344,The man is not slicing potatoes
1345,The man is eating potato slices
1346,A potato is being peeled by a woman
1347,A man is taking pictures of a lake
1348,A man is attentively taking pictures of a lake
1349,A man is tearing up the pictures of a lake
1350,The picture of a man is being taken near a lake
1351,The man is setting up the camera and taking sunset pictures at the beach
1352,The man is setting up the camera and takes pictures of the sunset at the beach
1353,The man is putting away the camera and walks away from the beach
1354,The picture of a camera set up is being taken by a man on the beach at the sunset
1355,A woman is unstitching with a machine
1356,A woman is sewing with a machine
1357,A woman is using a machine made for sewing
1358,A woman is using a sewing machine
1359,There is no woman using a sewing machine
1360,An egg is being cracked into a bowl by a woman
1361,A woman is cracking an egg into a bowl
1362,There is no woman cracking an egg into a bowl
1363,A woman is placing a bowl with a crack near an egg
1364,The woman is cracking two eggs into a bowl made of glass
1365,The woman is cracking two eggs into a glass bowl
1366,The woman is not cracking two eggs into a glass bowl
1367,A few men are cheerfully playing cricket
1368,A few men are playing cricket
1369,A few men are watching cricket
1370,People are playing cricket
1371,Some people are playing cricket
1372,People are not playing cricket
1373,A man is putting garlic on some slices of bread
1374,A man is putting garlic on some bread slices
1375,A man is removing the garlic from some slices of bread
1376,A man is slicing some garlic and putting away the bread
1377,A man is sprinkling seasoning on several sliced and buttered loaves of bread
1378,A person is sprinkling seasoning on several sliced and buttered loaves of bread
1379,There is no man sprinkling seasoning on several sliced and buttered loaves of bread
1380,Two kids are playing in a swimming pool with a green colored crocodile float
1381,Two kids are playing in a swimming pool with a crocodile float that is green
1382,Two kids are taking out a green colored crocodile float from a swimming pool
1383,Two crocodiles are floating in a green colored swimming pool near some playing kids
1384,An inflatable crocodile is being pushed by two kids in a pool
1385,Two kids are pushing an inflatable crocodile in a pool
1386,Two kids are pulling an inflatable crocodile out of a pool
1387,Two kids are pushing past a crocodile in an inflatable pool
1388,Someone is falling off the horse
1389,Someone is falling off a horse
1390,Someone is on a horse
1391,A horse is falling on someone
1392,The man is abruptly knocked off of a horse
1393,The man is being knocked off of a horse
1394,The man is not knocked off of a horse
1395,A woman is tapping her fingers nervously
1396,A woman is tapping her fingers
1397,There is no woman tapping her fingers
1398,A woman is tapping her fingers on a desk
1399,A woman is tapping her fingers on a table
1400,A woman is resting her fingers on a table
1401,A dog is pushing a toddler into a rain puddle
1402,A dog is pushing a toddler into a puddle of rain
1403,A dog is pulling a toddler out of a rain puddle
1404,The dog is knocking a boy into the water
1405,A boy is being knocked into the water by the dog
1406,The dog is not knocking the boy into the water
1407,A boy is knocking a dog with a bottle of water
1408,A man is hungrily eating a bowl of cereal
1409,A man is eating a bowl of cereal
1410,There is no man eating a bowl of cereal
1411,Cereal is being eaten by the man
1412,The man is eating cereal
1413,There is no man eating cereal
1414,A man is strumming the guitar
1415,A man is packing away the guitar
1416,The man is playing the flute
1417,The person is playing the flute
1418,The man in not playing the flute
1419,There is no woman adding spices to some meat
1420,A woman is adding spices to some meat
1421,The woman is adding sugar to the meat slowly
1422,The woman is adding sugar to the meat
1423,The woman is not adding sugar to the meat
1424,A dog is biting a can
1425,A can is being bitten by a dog
1426,A dog is dropping a can
1427,A dog is opening a can of food
1428,A dog is opening a jar of food
1429,A dog is closing a can of food
1430,A cat is playing with a watermelon
1431,One cat is playing with a watermelon
1432,There is no cat playing with a watermelon
1433,The cat is playing passionately with a watermelon
1434,The cat is playing with a watermelon
1435,The cat isn't playing with a watermelon
1436,The boy is playing a guitar
1437,A boy is playing a guitar
1438,There is no boy playing a guitar
1439,A teenager is playing the guitar
1440,A kid is playing a guitar
1441,A kid is putting the guitar away
1442,A woman is wakeboarding on a lake
1443,One woman is wakeboarding on the lake
1444,A woman is watching the lake
1445,The woman is waterskiing fearlessly
1446,The woman is waterskiing
1447,The woman is not waterskiing
1448,Someone is banging the lens of a camera against a nail
1449,Someone is banging a camera lens against a nail
1450,There is no one banging a camera lens against a nail
1451,Someone is nailing a camera lens with loud bangs
1452,A camera is being hammered onto the nail by the man
1453,The man is hammering a nail with a camera
1454,The man is not hammering a nail with a camera
1455,The camera man is nailing a hammer to the wall
1456,A person is slicing an onion
1457,A person is cutting an onion
1458,A person near an onion has a cut
1459,One person is cutting an onion
1460,There is no person cutting an onion
1461,A person is eating a cut onion
1462,A person is wrapping up an onion
1463,The oriental lady is cutting a carrot into thin pieces
1464,The oriental lady is cutting a carrot into pieces that are thin
1465,The oriental lady is not cutting a carrot into thin pieces
1466,A thin lady is piecing together oriental carrot cuts
1467,A man is pouring a plate of shredded cheese into a pot of sauce
1468,A man is pouring a plate of cheese which is shredded into a pot of sauce
1469,A man is taking a plate of shredded cheese off of a pot of sauce
1470,A man is pouring a pot of cheese sauce into a shredded plate
1471,The woman is adding cheese to the sauce
1472,The lady is adding cheese to the sauce
1473,The woman is removing cheese from the sauce
1474,Some cameras are being burned by a person with a blow torch
1475,A person is burning some cameras with a blow torch
1476,A person is repairing some cameras with a blow torch
1477,A person by some cameras is blowing on a burning torch
1478,The tall person is setting fire to the cameras
1479,The person is setting fire to the cameras
1480,There is no person setting fire to the cameras
1481,One man is playing the guitar
1482,The man is playing an acoustic guitar
1483,The man is playing a guitar which is acoustic
1484,The man isn't playing an acoustic guitar
1485,A person is cutting an onion into pieces
1486,A person is dicing an onion
1487,A person is piecing together an onion
1488,A person is slicing a carrot into pieces
1489,A carrot is being sliced into pieces by a person
1490,There is no person slicing a carrot into pieces
1491,The man is slicing a potato
1492,The person is carefully slicing a potato
1493,The man is wrapping a potato
1494,The man is cooking slices of potato
1495,The man is slicing the potato
1496,The person is slicing the potato
1497,The man is not slicing the potato
1498,Somebody is cutting a tomato
1499,Someone is cutting a tomato
1500,There is no one cutting a tomato
1501,The lady is slicing a tomato
1502,The woman is slicing a tomato
1503,The woman is holding a whole tomato
1504,A man is preparing some dish
1505,A man is preparing a dish
1506,A man is cleaning a dish
1507,The woman is slicing an onion with a knife
1508,An onion is being sliced with a knife by the woman
1509,The woman is not slicing an onion with a knife
1510,Some runners are competing in a race
1511,Runners are competing in a race
1512,Runners are not taking part in the race
1513,Runners are racing in a competition
1514,The runners are racing impetuously around a track
1515,The runners are racing around a track
1516,The runners are not racing around a track
1517,A man is racing
1518,A man is running
1519,A man is standing still
1520,A man is running down the road
1521,One man is running down the road
1522,There is no man running down the road
1523,The keyboard is being played with his nose by a man
1524,A man is playing the keyboard with his nose
1525,A man is idling
1526,A man at the keyboard is playing with his nose
1527,The man is funnily playing the piano with his nose
1528,The man is playing the piano with his nose
1529,There is no man playing the piano with his nose
1530,A baby rhino is following an adult rhino
1531,"A rhino, which is little, is following an adult rhino"
1532,A baby rhino is shunning an adult rhino
1533,A baby and an adult are being followed by a rhino
1534,"A rhino, which is a youngling, is walking around a pen with its mother"
1535,A baby rhino is walking around a pen with its mother
1536,A baby rhino and its mother are standing in a pen
1537,A mother is giving the baby a pen with a walking rhino on it
1538,A man is riding a motorcycle
1539,A man is getting off the motorcycle
1540,A man is dangerously riding a motorcycle through a town
1541,A man is riding a motorcycle through the town
1542,There is no man riding a motorcycle through the town
1543,A group of people is singing
1544,A few people are singing
1545,A group of people is silent
1546,Some people are singing
1547,Some persons are singing
1548,Some people are silent
1549,A man is playing a trumpet brightly
1550,A man is playing a trumpet
1551,A man is putting a trumpet away
1552,The man is playing a guitar
1553,A guitar is being played by the man
1554,The man is not playing a guitar
1555,One man is dancing
1556,A man is motionless
1557,A man is speaking
1558,A man is silent
1559,A man is carefully climbing a rope
1560,A man is climbing a rope
1561,A man is untying a rope
1562,A man is being roped before a climb
1563,One panda is climbing
1564,A panda is climbing
1565,There is no panda climbing
1566,A woman is dancing beautifully in a cage
1567,A woman is dancing in a cage
1568,There is no woman dancing in a cage
1569,A woman is being caged for the dance
1570,The woman is dancing
1571,The lady is dancing
1572,The woman is not dancing
1573,Four people are floating on a raft
1574,A few people are floating on a raft
1575,Nobody is floating on a raft
1576,People are riding and paddling a raft
1577,Some persons are riding and paddling a raft
1578,People are not riding and paddling a raft
1579,People are paddling near a raft that is being ridden
1580,A cat is eagerly eating corn on the cob
1581,A cat is eating corn on the cob
1582,There is no cat eating corn on the cob
1583,A cat is eating some corn
1584,The cat is eating some corn
1585,A cat is walking away from some corn
1586,Someone is slicing a tomato
1587,Nobody is slicing a tomato
1588,The person is quickly slicing a vegetable
1589,The person is slicing a vegetable
1590,The person isn't slicing a vegetable
1591,A little girl is playing a grand piano on stage
1592,"A little girl is playing a piano, which is very big, on stage"
1593,There is no little girl playing a grand piano on stage
1594,"A girl, who is little, is playing the piano"
1595,A little girl is playing the piano
1596,There is no little girl playing the piano
1597,A man is packing a guitar
1598,Someone is strumming the guitar
1599,Someone is playing the guitar
1600,Someone is putting the guitar away
1601,The man is dancing frantically
1602,The man is dancing
